New,dl_bler,ul_bler,conn_avg,conn_max,interx2in_succ_rate,interx2out_succ_rate,intraenb_succ_rate,dl_prb,ul_prb,reconfig_succ_rate
1004_0-20210901-12,12.3421955889438,29.2977846193879,19.7911111111111,35.0,97.5334018499486,100.0,99.1649269311065,25.7336984352774,23.3003698435277,98.1495879334474
1004_0-20210901-13,11.0444447331443,27.5323135025489,19.2629238465814,34.0,97.3166368515206,100.0,99.7858672376874,26.2765291607397,25.3134566145092,97.5081256771398
1004_0-20210901-14,10.7723930250794,26.1703228027669,23.5892162312396,36.0,98.0,99.8125585754452,99.203187250996,27.3038833570413,25.4864864864865,98.6180124223603
1004_0-20210901-15,11.8785083014012,29.1527691793543,22.54,39.0,97.6894639556377,99.9043062200957,99.437148217636,29.34679943101,27.3020768136558,97.9595222295952
1004_0-20210901-16,10.6915689835545,26.7468355496744,24.8871595330739,46.0,97.1843003412969,99.8222222222222,99.7942386831276,30.7713229018492,30.2496870554765,97.9762428508579
1004_0-20210901-17,12.1791426468642,29.5938542711733,26.6272222222222,45.0,97.7077363896848,100.0,99.8516320474778,35.3411505681818,31.3018892045455,96.8410781802659
1004_0-20210901-18,12.5293046555343,31.1375268002677,27.1489716509172,48.0,97.3875181422351,99.9273255813954,99.7308209959623,40.6133854907539,33.740853485064,96.9929388848308
1004_0-20210901-19,12.6776070611311,30.0979843688386,29.4630350194553,47.0,97.608828939301,99.9349804941482,99.8657718120806,46.4693029871977,39.7615789473684,98.4682713347921
1004_0-20210901-20,11.0276054580979,26.0745573785072,30.9394107837688,49.0,97.6326530612245,99.8307952622674,99.8544395924309,47.453826458037,57.2227027027027,98.4883720930233
1004_0-20210901-21,11.4144073327956,25.1819608419507,30.8394444444444,45.0,96.6379984362784,100.0,99.8759305210918,,,98.9045736871824
1004_0-20210901-22,12.1431044112259,24.8956389001423,28.4863813229572,47.0,98.5324947589099,99.8933901918977,100.0,47.0376102418208,41.1172972972973,98.4357259997477
